angles,noise,mse,psnr
90,0.05,0.004661491606384516,23.314750934455336
30,0.0,0.0024845455773174763,26.047530320052164
30,0.02,0.004511719569563866,23.456579021931233
30,0.05,0.01361018791794777,18.661358783848833
30,0.1,0.043193504214286804,13.645815609630706
60,0.0,0.0008358237100765109,30.778853132482176
60,0.02,0.001955693354830146,27.08699239908966
60,0.05,0.0068344539031386375,21.652961813636722
60,0.1,0.02277638018131256,16.425152965957274
90,0.0,0.0005482430569827557,32.610268595741424
90,0.02,0.0013058511540293694,28.84106322806494
90,0.05,0.00472081545740366,23.259829763528472
90,0.1,0.015257230028510094,18.165243059963508
